empszfi,employment_size_of_firm,buschar,business_characteristic,employer_firms,pct_of_employer_firms,employees,pct_of_employees,firmpdemp_flag,firmpdemp_pct_flag,file_year,recomputed_pct_of_total_reporting,agency,program,table,year,variable_or_question,url,url_secondary,funded_by,origin,confidence,notes
655,Firms with less than 500 employees,EWA,Business had employees who worked from home,1039660.0,35.8,11106593.0,37.3,,,2023,35.81483873745855,U.S. Census Bureau,Annual Business Survey (ABS) Characteristics of Businesses,ABSCB2023.AB2300CSCB04 (Sex/Ethnicity/Race/Veteran × Employment Size of Firm),2023,"QDESC=B28 WORKHOME; BUSCHAR=EWA 'Business had employees who worked from home' as percent of BUSCHAR=EWTR 'Total reporting' (FIRMPDEMP_PCT). EMPSZFI 655 = firms with less than 500 employees; 657 = firms with 500 employees or more. Firm-level (had any WFH employees), not worker WFH rate.",https://www2.census.gov/programs-surveys/abs/data/2023/AB2300CSCB04.zip,https://data.census.gov/table/ABSCB2023.AB2300CSCB04,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,FTP YEAR field = 2023. Table notes on data.census.gov. This is not a worker telework rate and is not interchangeable with ACS/ATUS. SBA-style <500 vs 500+ bins are published as EMPSZFI 655 and 657.
655,Firms with less than 500 employees,EWN,Business did not have employees who worked from home,1863215.0,64.2,18659361.0,62.7,,,2023,,U.S. Census Bureau,Annual Business Survey (ABS) Characteristics of Businesses,ABSCB2023.AB2300CSCB04 (Sex/Ethnicity/Race/Veteran × Employment Size of Firm),2023,"QDESC=B28 WORKHOME; BUSCHAR=EWA 'Business had employees who worked from home' as percent of BUSCHAR=EWTR 'Total reporting' (FIRMPDEMP_PCT). EMPSZFI 655 = firms with less than 500 employees; 657 = firms with 500 employees or more. Firm-level (had any WFH employees), not worker WFH rate.",https://www2.census.gov/programs-surveys/abs/data/2023/AB2300CSCB04.zip,https://data.census.gov/table/ABSCB2023.AB2300CSCB04,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,FTP YEAR field = 2023. Table notes on data.census.gov. This is not a worker telework rate and is not interchangeable with ACS/ATUS. SBA-style <500 vs 500+ bins are published as EMPSZFI 655 and 657.
655,Firms with less than 500 employees,EWTR,Total reporting,2902875.0,100.0,29765953.0,100.0,,,2023,,U.S. Census Bureau,Annual Business Survey (ABS) Characteristics of Businesses,ABSCB2023.AB2300CSCB04 (Sex/Ethnicity/Race/Veteran × Employment Size of Firm),2023,"QDESC=B28 WORKHOME; BUSCHAR=EWA 'Business had employees who worked from home' as percent of BUSCHAR=EWTR 'Total reporting' (FIRMPDEMP_PCT). EMPSZFI 655 = firms with less than 500 employees; 657 = firms with 500 employees or more. Firm-level (had any WFH employees), not worker WFH rate.",https://www2.census.gov/programs-surveys/abs/data/2023/AB2300CSCB04.zip,https://data.census.gov/table/ABSCB2023.AB2300CSCB04,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,FTP YEAR field = 2023. Table notes on data.census.gov. This is not a worker telework rate and is not interchangeable with ACS/ATUS. SBA-style <500 vs 500+ bins are published as EMPSZFI 655 and 657.
657,Firms with 500 employees or more,EWA,Business had employees who worked from home,6897.0,77.5,37351048.0,90.8,,,2023,77.45956873315365,U.S. Census Bureau,Annual Business Survey (ABS) Characteristics of Businesses,ABSCB2023.AB2300CSCB04 (Sex/Ethnicity/Race/Veteran × Employment Size of Firm),2023,"QDESC=B28 WORKHOME; BUSCHAR=EWA 'Business had employees who worked from home' as percent of BUSCHAR=EWTR 'Total reporting' (FIRMPDEMP_PCT). EMPSZFI 655 = firms with less than 500 employees; 657 = firms with 500 employees or more. Firm-level (had any WFH employees), not worker WFH rate.",https://www2.census.gov/programs-surveys/abs/data/2023/AB2300CSCB04.zip,https://data.census.gov/table/ABSCB2023.AB2300CSCB04,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,FTP YEAR field = 2023. Table notes on data.census.gov. This is not a worker telework rate and is not interchangeable with ACS/ATUS. SBA-style <500 vs 500+ bins are published as EMPSZFI 655 and 657.
657,Firms with 500 employees or more,EWN,Business did not have employees who worked from home,2007.0,22.5,3767240.0,9.2,,,2023,,U.S. Census Bureau,Annual Business Survey (ABS) Characteristics of Businesses,ABSCB2023.AB2300CSCB04 (Sex/Ethnicity/Race/Veteran × Employment Size of Firm),2023,"QDESC=B28 WORKHOME; BUSCHAR=EWA 'Business had employees who worked from home' as percent of BUSCHAR=EWTR 'Total reporting' (FIRMPDEMP_PCT). EMPSZFI 655 = firms with less than 500 employees; 657 = firms with 500 employees or more. Firm-level (had any WFH employees), not worker WFH rate.",https://www2.census.gov/programs-surveys/abs/data/2023/AB2300CSCB04.zip,https://data.census.gov/table/ABSCB2023.AB2300CSCB04,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,FTP YEAR field = 2023. Table notes on data.census.gov. This is not a worker telework rate and is not interchangeable with ACS/ATUS. SBA-style <500 vs 500+ bins are published as EMPSZFI 655 and 657.
657,Firms with 500 employees or more,EWTR,Total reporting,8904.0,100.0,41118288.0,100.0,,,2023,,U.S. Census Bureau,Annual Business Survey (ABS) Characteristics of Businesses,ABSCB2023.AB2300CSCB04 (Sex/Ethnicity/Race/Veteran × Employment Size of Firm),2023,"QDESC=B28 WORKHOME; BUSCHAR=EWA 'Business had employees who worked from home' as percent of BUSCHAR=EWTR 'Total reporting' (FIRMPDEMP_PCT). EMPSZFI 655 = firms with less than 500 employees; 657 = firms with 500 employees or more. Firm-level (had any WFH employees), not worker WFH rate.",https://www2.census.gov/programs-surveys/abs/data/2023/AB2300CSCB04.zip,https://data.census.gov/table/ABSCB2023.AB2300CSCB04,U.S. Census Bureau (federal statistical agency),RETRIEVED,high,FTP YEAR field = 2023. Table notes on data.census.gov. This is not a worker telework rate and is not interchangeable with ACS/ATUS. SBA-style <500 vs 500+ bins are published as EMPSZFI 655 and 657.
