geo_id,geo_name,geo_type,year,size_scheme,origin,agency,program,source,source_file,source_url,source_page_url,release_note,measure,citation,employment_total,employment_lt5,employment_5_9,employment_10_19,employment_20_99,employment_100_499,employment_lt100,employment_lt500,employment_ge500,share_lt5_pct,share_5_9_pct,share_10_19_pct,share_20_99_pct,share_100_499_pct,share_lt100_pct,share_lt500_pct,share_ge500_pct,any_size_class_suppressed,size_class_sum,size_class_vs_total_diff,binary_sum,binary_vs_total_diff,ge500_derived
13,Georgia,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",4249362,194897,195589,247981,636819,531346,1275286,1806632,2442730,4.586500279336051,4.602785076912722,5.8357231038447654,14.986226167598806,12.504135914991474,30.011234627692346,42.51537054268382,57.48462945731618,False,4249362,0,4249362,0,
15,Hawaii,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",507390,24094,28237,35412,86379,77434,174122,251556,255834,4.748615463450206,5.565147125485327,6.979246733282091,17.024182581446226,15.261238889217367,34.31719190366385,49.578430792881214,50.421569207118786,False,507390,0,507390,0,
16,Idaho,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",689589,43835,47653,61546,138428,94616,291462,386078,303511,6.35668492391845,6.910348047895195,8.925026356278885,20.073986098966195,13.720636495071702,42.26604542705873,55.98668192213043,44.01331807786957,False,689589,0,689589,0,
17,Illinois,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",5533883,244836,246288,320344,857223,752280,1668691,2420971,3112912,4.424307488972933,4.450545846379477,5.788774356089567,15.490443148147513,13.594071287737743,30.15407083958949,43.748142127327235,56.251857872672765,False,5533883,0,5533883,0,
18,Indiana,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",2875908,104236,126240,168227,455942,387193,854645,1241838,1634070,3.6244553024644737,4.389570180965455,5.849526479984756,15.853845116046827,13.46333053769453,29.717397079461513,43.180727617156045,56.819272382843955,False,2875908,0,2875908,0,
19,Iowa,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",1386299,60020,67418,89586,216029,204504,433053,637557,748742,4.329513330096899,4.863164439994547,6.462242272410209,15.58314620439025,14.751795968979275,31.238066246891904,45.98986221587118,54.01013778412882,False,1386299,0,1386299,0,
20,Kansas,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",1225232,54621,63043,80198,207766,193506,405628,599134,626098,4.458012849811301,5.145392872533528,6.545535865860506,16.957278295049427,15.793417083458479,33.10621988325477,48.899636966713246,51.100363033286754,False,1225232,0,1225232,0,
21,Kentucky,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",1667694,63250,76634,101043,251909,217777,492836,710613,957081,3.7926622030180597,4.595207514088316,6.058845327739981,15.105229136760101,13.058570697022356,29.55194418160646,42.61051487862881,57.38948512137119,False,1667694,0,1667694,0,
22,Louisiana,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",1644036,77126,95058,124571,321971,270705,618726,889431,754605,4.691259802096791,5.781990175397619,7.577145512628677,19.584181854898553,16.46588030919031,37.63457734502164,54.10045765421195,45.89954234578805,False,1644036,0,1644036,0,
23,Maine,state,2022,detailed_doc_01_26,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),U.S. Census Bureau Statistics of U.S. Businesses (SUSB) 2022,us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",533151,33881,37223,43697,99627,76090,214428,290518,242633,6.354860067785674,6.981699368471596,8.19598950391165,18.686450930411834,14.271754155952067,40.21899987058075,54.49075402653282,45.50924597346718,False,533151,0,533151,0,
