line_id,geography,metric,value,unit,year,origin,agency,program,source_file,source_url,source_page_url,release_note,measure,citation,notes
A1,United States,SUSB total employment,135748407,persons,2022,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",STATE=00 NAICS=-- ENTRSIZEDSCR 01: Total
A2,United States,Employment at enterprises <500,62250556,persons,2022,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",ENTRSIZEDSCR 19: <500 (SBA cutoff)
A3,United States,Employment at enterprises 500+,73497851,persons,2022,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",Sum of ENTRSIZEDSCR 20–26; equals A1−A2
A4,United States,Share employment <500,45.85730129415073,percent,2022,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",Derived A2/A1; exhibit rounds to 45.9%
A5,United States,Share employment 500+,54.14269870584927,percent,2022,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",Derived A3/A1; exhibit rounds to 54.1%
A6,United States,Share employment <100,32.35904271053435,percent,2022,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",Sum of <5+5-9+10-19+20-99 over total; exhibit 32.4%
A7,Montana,Share employment <500 (highest state),66.32896349947727,percent,2022,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",STATE=30; employment base 398871; exhibit 66.3%
A8,Florida,Share employment <500 (lowest state),39.60045351130097,percent,2022,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),us_state_naics_detailedsizes_2022.txt,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,reference year 2022; datasets page April 2025; file last-modified 2025-04-10,"mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — us_state_naics_detailedsizes_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; datasets page April 2025; file last-modified 2025-04-10; measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",STATE=12; employment base 9628867; exhibit 39.6%
A9,Metro Areas (n=387),Median share employment <500,49.8,percent,2022,RETRIEVED,U.S. Census Bureau,Statistics of U.S. Businesses (SUSB),msa_3digitnaics_2022.txt,https://www2.census.gov/programs-surveys/susb/datasets/2022/msa_3digitnaics_2022.txt,https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html,"reference year 2022; MSA dataset originally released 2025-05-29, revised 2025-07-22 (extraneous estimates removed; remaining estimates unchanged)","mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff)","U.S. Census Bureau, Statistics of U.S. Businesses (SUSB), 2022 Annual Datasets by Establishment Industry — msa_3digitnaics_2022.txt (all-industry NAICS=--, enterprise employment size); reference year 2022; MSA dataset originally released 2025-05-29, revised 2025-07-22 (extraneous estimates removed; remaining estimates unchanged); measures mid-March payroll employment at employer establishments, classified by enterprise (firm) employment size; primary split firms <500 vs 500+ employees (SBA cutoff). File: https://www2.census.gov/programs-surveys/susb/datasets/2022/msa_3digitnaics_2022.txt Landing page: https://www.census.gov/data/datasets/2022/econ/susb/2022-susb.html",Median of Metropolitan Statistical Area <500 shares; Micro Areas excluded; exhibit 49.8%
